"Plot Title: FORCRK_U"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685714, SEN S/N: 20685714, LBL: Temp)","Bad Battery (LGR S/N: 20685714)","End Of File (LGR S/N: 20685714)"
391,07/15/22 15:00:00,7.882,,
392,07/15/22 15:30:00,7.782,,
393,07/15/22 16:00:00,7.682,,
394,07/15/22 16:30:00,7.481,,
395,07/15/22 17:00:00,7.381,,
396,07/15/22 17:30:00,7.280,,
397,07/15/22 18:00:00,7.179,,
398,07/15/22 18:30:00,6.978,,
399,07/15/22 19:00:00,6.775,,
400,07/15/22 19:30:00,6.573,,
401,07/15/22 20:00:00,6.268,,
402,07/15/22 20:30:00,5.962,,
403,07/15/22 21:00:00,5.757,,
404,07/15/22 21:30:00,5.552,,
405,07/15/22 22:00:00,5.347,,
406,07/15/22 22:30:00,5.141,,
407,07/15/22 23:00:00,4.831,,
408,07/15/22 23:30:00,4.623,,
409,07/16/22 00:00:00,4.519,,
410,07/16/22 00:30:00,4.415,,
411,07/16/22 01:00:00,4.415,,
412,07/16/22 01:30:00,4.415,,
413,07/16/22 02:00:00,4.415,,
414,07/16/22 02:30:00,4.311,,
415,07/16/22 03:00:00,4.311,,
416,07/16/22 03:30:00,4.207,,
417,07/16/22 04:00:00,4.207,,
418,07/16/22 04:30:00,4.102,,
419,07/16/22 05:00:00,4.102,,
420,07/16/22 05:30:00,4.102,,
421,07/16/22 06:00:00,4.207,,
422,07/16/22 06:30:00,4.311,,
423,07/16/22 07:00:00,4.311,,
424,07/16/22 07:30:00,4.623,,
425,07/16/22 08:00:00,4.934,,
426,07/16/22 08:30:00,5.141,,
427,07/16/22 09:00:00,5.347,,
428,07/16/22 09:30:00,5.450,,
429,07/16/22 10:00:00,5.552,,
430,07/16/22 10:30:00,5.757,,
431,07/16/22 11:00:00,6.064,,
432,07/16/22 11:30:00,6.268,,
433,07/16/22 12:00:00,6.775,,
434,07/16/22 12:30:00,7.280,,
435,07/16/22 13:00:00,7.481,,
436,07/16/22 13:30:00,7.782,,
437,07/16/22 14:00:00,7.983,,
438,07/16/22 14:30:00,8.082,,
439,07/16/22 15:00:00,8.182,,
440,07/16/22 15:30:00,8.082,,
441,07/16/22 16:00:00,7.782,,
442,07/16/22 16:30:00,7.481,,
443,07/16/22 17:00:00,7.381,,
444,07/16/22 17:30:00,7.280,,
445,07/16/22 18:00:00,6.978,,
446,07/16/22 18:30:00,6.573,,
447,07/16/22 19:00:00,6.268,,
448,07/16/22 19:30:00,5.962,,
449,07/16/22 20:00:00,5.757,,
450,07/16/22 20:30:00,5.655,,
451,07/16/22 21:00:00,5.552,,
452,07/16/22 21:30:00,5.347,,
453,07/16/22 22:00:00,5.244,,
454,07/16/22 22:30:00,5.141,,
455,07/16/22 23:00:00,5.037,,
456,07/16/22 23:30:00,4.934,,
457,07/17/22 00:00:00,4.934,,
458,07/17/22 00:30:00,4.831,,
459,07/17/22 01:00:00,4.727,,
460,07/17/22 01:30:00,4.727,,
461,07/17/22 02:00:00,4.727,,
462,07/17/22 02:30:00,4.727,,
463,07/17/22 03:00:00,4.623,,
464,07/17/22 03:30:00,4.519,,
465,07/17/22 04:00:00,4.415,,
466,07/17/22 04:30:00,4.415,,
467,07/17/22 05:00:00,4.311,,
468,07/17/22 05:30:00,4.207,,
469,07/17/22 06:00:00,4.102,,
470,07/17/22 06:30:00,4.102,,
471,07/17/22 07:00:00,4.102,,
472,07/17/22 07:30:00,4.311,,
473,07/17/22 08:00:00,4.415,,
474,07/17/22 08:30:00,4.623,,
475,07/17/22 09:00:00,4.727,,
476,07/17/22 09:30:00,4.831,,
477,07/17/22 10:00:00,4.831,,
478,07/17/22 10:30:00,4.934,,
479,07/17/22 11:00:00,5.141,,
480,07/17/22 11:30:00,5.347,,
481,07/17/22 12:00:00,5.860,,
482,07/17/22 12:30:00,6.370,,
483,07/17/22 13:00:00,6.370,,
